,,,,2-step,3-step,4-step,5-step,6-step,7-step,8-step,9-step,10-step
MSFT,European,230,0.25,0.0,1.086311044462768,1.0657594501120706,0.7535185462812026,0.9887180592319685,1.0261071844997725,0.8061509629035193,1.0253108324911941,0.9762658506649623
MSFT,American,230,0.25,0.0,1.086311044462768,1.0657594501120706,0.7535185462812026,1.0032380320434122,1.0323159080660336,0.8102857693518851,1.0386100462260648,0.9827817005815537
MSFT,European,230,0.5,4.207642393812812,3.733460966958066,2.5071672768482474,3.662791541792496,3.3031539679347475,3.191073104508421,3.4993487329630364,2.9743011647881867,3.4564136921121817
MSFT,American,230,0.5,4.207642393812812,3.733460966958066,2.5727421755036426,3.731387873390307,3.3316286627099347,3.30149898807191,3.5528436421062306,3.0367974870651855,3.529255692029689
MSFT,European,230,0.75,7.368438897863779,5.495055590196693,5.565957794655375,6.071926778082129,4.8399199163927165,5.938921127206124,5.431734477588865,5.651546294184908,5.668747981044223
MSFT,American,230,0.75,7.368438897863779,5.495055590196693,5.820300148475689,6.173094376165586,5.04783402323507,6.101855770393349,5.535163290678325,5.852428684969154,5.787947144063587
MSFT,European,230,1.0,9.765284321693354,6.80454280826485,8.238545164478955,7.888640698033804,7.2227332708799965,8.025135654787203,6.878805245854856,7.90590226074747,7.3346496751293815
MSFT,American,230,1.0,9.765284321693354,6.80454280826485,8.572579808351128,8.021370739867649,7.668883414190873,8.238995430201687,7.234054562634854,8.186323297054575,7.553174908912845
MSFT,European,250,0.25,4.439186120733831,3.5148113653233812,3.1257488396300825,3.750705962253957,3.1135277763168534,3.5744785205882,3.428755902465061,3.326518517712157,3.5238706674579197
MSFT,American,250,0.25,4.439186120733831,3.5148113653233812,3.2209757046698875,3.7886817820511514,3.1293103554597272,3.6355786540284227,3.4583876065578076,3.401809603651268,3.5642036413576705
MSFT,European,250,0.5,8.989611645342574,6.11468732211927,8.077484447679064,7.24714058888316,7.4414472081921215,7.529665170909221,6.991760364522908,7.561629777122019,6.74175583746974
MSFT,American,250,0.5,8.989611645342574,6.210051110159763,8.264718716442516,7.321701818880779,7.691363608865914,7.649693305217359,7.267185497805764,7.717085670111554,6.994811438883331
MSFT,European,250,0.75,12.068078469637355,9.074581625260569,11.465603999394279,9.595006491488506,10.945041341264277,10.205287051522125,10.556118668904203,10.439226333160528,10.256954518349477
MSFT,American,250,0.75,12.068078469637355,9.817113826193408,11.742063079633752,9.89197022056384,11.314174334531764,10.450531200372259,10.962975655422733,10.710448498838597,10.699756313242778
MSFT,European,250,1.0,14.38654654651172,12.306831698503393,14.04536576815706,11.353754160711054,13.622793430572354,12.223038849261295,13.285647123968127,12.617908947475769,13.018717626199717
MSFT,American,250,1.0,14.38654654651172,13.28337040791028,14.408446902800728,12.32755084331562,14.107739238518963,12.74542787249468,13.859268859161261,13.065793827658077,13.617165018347759
MSFT,European,270,0.25,9.310482045583829,8.685730171809317,9.228057019726702,8.110588323167908,9.059429913092107,7.991820312725294,8.917109498582606,8.280628940840467,8.801848191532283
MSFT,American,270,0.25,9.310482045583829,8.96101789006507,9.330902033969691,8.399634765773598,9.196655029575135,8.2176772368501,9.068320367829562,8.407407025692287,8.96333477573406
MSFT,European,270,0.5,13.771580896872337,14.532556201664772,14.0745241329378,13.73748611792418,14.046575800181856,13.397892045065001,13.977106283168466,13.210007410558955,13.906457983662653
MSFT,American,270,0.5,13.771580896872337,15.07483339264526,14.27673714320233,14.306865861630195,14.316485512909551,13.949704469644827,14.30885410686477,13.755395641070495,14.258441148649986
MSFT,European,270,0.75,16.76771804141093,18.56573612405072,17.36525020413319,17.614005881224276,17.44522750702704,17.20717891071731,17.43180018461633,16.9820247169758,17.395549462802276
MSFT,American,270,0.75,16.76771804141093,19.36767090105819,17.66382601079182,18.456042124268873,17.954991216054577,18.023163049237056,17.974871351981125,17.814329086334546,17.978014336598306
MSFT,European,270,1.0,19.007808771330087,21.65663612420413,19.85218637183517,20.582665900382462,20.02285359026472,20.12321507094829,20.05661902209738,19.868853014137986,20.049385508159794
MSFT,American,270,1.0,19.007808771330087,22.711297930363568,20.486722816524594,21.690120029908396,20.77347289312001,21.251565355069218,20.870887618661477,20.981991275244738,20.913162376505223
MSFT,European,290,0.25,16.087708638036627,18.48017488747465,16.759814400424123,17.90800466702198,16.96892759701086,17.66379527513398,17.062833010033998,17.528723720234385,17.11298825087484
MSFT,American,290,0.25,16.9794292607056,18.775854288564165,17.42749705695015,18.21846195722809,17.52482826915011,17.98572785985263,17.548957765228757,17.85385186002986,17.570521483549317
MSFT,European,290,0.5,20.43571238072851,24.17065924759016,21.48319030593894,23.380328442710944,21.828061117492368,23.042735747404215,21.9917649104964,22.855953228027687,22.084406182687427
MSFT,American,290,0.5,22.197221474714922,24.753105119384017,22.800918936948378,23.99188446372852,22.92459861537069,23.71968842455194,23.002671423969307,23.539123903955996,23.027261759518446
MSFT,European,290,0.75,23.326041287849506,28.056890622840882,24.658920024879176,27.1116065884836,25.107102975185544,26.70749243180979,25.32396112310408,26.483829971397064,25.448976577810154
